event	flair	bambu	rnabloom	isotools	annotation	gene	species	type	longest_annotation
ENSG00000139220_10_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_11_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_11_alternative	F	F	F	T	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_12_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_12_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_13_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_13_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_14_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_14_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_15_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_15_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_16_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_16_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_17_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_17_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_18_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_18_alternative	F	F	F	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_19_canonical	F	F	F	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_19_alternative	F	F	T	F	T	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_20_canonical	F	F	T	F	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_20_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_21_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_21_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_22_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
ENSG00000139220_22_alternative	F	F	T	F	F	ENSG00000139220	homo_sapiens	alternative	T
ENSG00000139220_23_canonical	T	T	T	T	T	ENSG00000139220	homo_sapiens	canonical	T
